"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifitm1",0,4.8168892528147,0.916,0.075,0
"Wfdc17",0,4.7523953127956,0.967,0.247,0
"BC100530",0,3.73141055093168,0.824,0.153,0
"Hbb-bs",5.38604617339701e-281,3.23280310440112,0.256,0.024,1.5079852076277e-276
"Gm5483",0,2.87113018407332,0.532,0.061,0
"Stfa2",0,2.69989267119661,0.387,0.016,0
"Stfa2l1",0,2.55902983036374,0.524,0.087,0
"Il1b",0,2.46012316380713,0.611,0.118,0
"Prok2",0,2.27065362409199,0.465,0.075,0
"Stfa3",0,2.19480756846679,0.341,0.038,0
"Ifitm2",0,2.15090037092883,0.954,0.831,0
"Asprv1",0,2.05924223101594,0.523,0.068,0
"Tspo",0,1.53225400935498,0.944,0.851,0
"Srgn",0,1.50172185147973,0.771,0.39,0
"Socs3",0,1.43612483648253,0.436,0.065,0
"Lrg1",0,1.37130193801834,0.854,0.8,0
"BC117090",0,1.36966543271198,0.337,0.042,0
"S100a6",0,1.36244520105188,0.951,0.828,0
"Junb",0,1.30796067844256,0.897,0.704,0
"1600014C10Rik",0,1.25136977124963,0.552,0.256,0
